count,latitude,longitude,found_country,place,country_name,continent
1,52.2451778,-0.9182112,True,"Sulgrave, Northampton, Eng",United Kingdom,Europe
1,52.2683065,-1.036296,True,"Brington, Northamptonshire, England",England,Europe
1,52.1546172,-1.2742734,True,"Aston-Le-Walls, , , England",England,Europe
1,51.2715316,-0.3414524,True,"Tighes, Surrey, Eng",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Thrapston, Northants, Eng",United Kingdom,Europe
1,52.5100779,-0.9501074,True,"Packington, Leics, Eng",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Brington, Northants, Eng",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Althrop, Northants, Eng",United Kingdom,Europe
1,40.416782,-3.703507,True,"Madrid, Spain",Spain,Europe
1,52.2791465,-1.0251429,True,Great Brington,United Kingdom,Europe
1,52.1790224,-1.3451912,True,"Wormleighton, Warwickshire",United Kingdom,Europe
1,52.5310214,-1.2649062,True,"Wormleighton, Warws, Eng",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Of, Little Creston, Northants, England",England,Europe
1,52.3106138,-0.865913,True,"Of, Great Creaton, Northants, England",England,Europe
1,51.3198054,-1.4762773,True,Linkenholt Eng.,United Kingdom,Europe
1,51.5074456,-0.1277653,True,London Eng.,United Kingdom,Europe
1,53.5948684,-1.3788695,True,"Of, , Yorkshire, England",England,Europe
1,37.2356655,-76.5136495,True,"Yorktown, Va, U.S.A.",USA,North America
1,41.903411,12.4528527,True,"Elizabethcity, VA",Civitas Vaticana - Città del Vaticano,Europe
1,52.5310214,-1.2649062,True,", , , Eng",United Kingdom,Europe
1,36.8639003,-76.3079924,True,"Elizabeth City, VA",United States,North America
1,41.903411,12.4528527,True,"Norfolk, Elizabethcity, VA",Civitas Vaticana - Città del Vaticano,Europe
1,52.5310214,-1.2649062,True,"Wokingham, Berkshsire, England",England,Europe
1,51.0690613,-1.7954134,True,"Of, , Wiltshire, Eng",United Kingdom,Europe
1,51.4534889,-1.031873,True,"Ruscombe, Comitatis, Berkshire, England",England,Europe
1,52.5310214,-1.2649062,True,"Ruscambe, , Eng",United Kingdom,Europe
1,51.0648886,-1.7948028,True,"Of, Wiltshire, England",England,Europe
1,51.5362073,-0.6571411,True,"Boveny Parish, Burnham, Buckingham, Eng",United Kingdom,Europe
1,51.5692833,-0.6529766,True,"Parish Burnham, Buckingham, Eng",United Kingdom,Europe
1,52.5310214,-1.2649062,True,"Of Burnham, Boven, Eng",United Kingdom,Europe
1,51.5356133,-0.6589748,True,"Of Burnham, Buckingham, Eng",United Kingdom,Europe
1,51.7834994,-0.8946441,True,"Burnham, Bucks, England",England,Europe
1,51.7834994,-0.8946441,True,"Burnham, Boveney, Bucks, England",England,Europe
1,42.3423259,-72.5891221,True,"Hadley, Hampshire, MA",United States,North America
1,52.1061958,-1.1915121,True,"South Isle Of Church, Sulgrave",United Kingdom,Europe
1,52.3213064,-1.5536906,True,"Of Radway, Warwickshire, England",England,Europe
1,53.8378282,-2.2105512,True,"Of Whitefield, Lancs., Eng.",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Sulgrave, Northants, Eng",United Kingdom,Europe
1,,,False,Will Dated,,
1,51.0055129,-0.1393153,True,"Tyes Hall, Cuckfield, Sussex, England",England,Europe
1,51.2715316,-0.3414524,True,"Of, Tighes, Surrey, England",England,Europe
1,54.0488219,-2.8013499,True,"Palstarr, , Lancaster, England",England,Europe
1,51.8400523,-0.0978552,True,"Of, Faccombe, Hertfordshire, England",England,Europe
1,,,False,", Linkenwilt",,
1,51.4269241,0.3612985,True,"Of, Kent, England",England,Europe
1,41.6722912,-71.602762,True,"Of, , Kent",United States,North America
1,52.5310214,-1.2649062,True,"Kent Manor, Linkenholt, Southhamptonshir, Eng.",United Kingdom,Europe
1,51.3171692,-1.4425384,True,", Faccombe, , England",England,Europe
1,51.4514323,-0.9881486,True,"Haines Hillhurst, Parish, Berkshire",United Kingdom,Europe
1,53.1780161,-0.1023101,True,"Scrivelsby, Lincolnshire, England",England,Europe
1,51.7834994,-0.8946441,True,"Boveney, , Bucks., Eng",United Kingdom,Europe
1,51.7834994,-0.8946441,True,"Dorney, Bucks, England",England,Europe
1,51.4312752,-0.7732314,True,"Binfield, , Berks., Eng",United Kingdom,Europe
1,51.4312752,-0.7732314,True,"Binfield, Berkshire, Eng",United Kingdom,Europe
1,51.7834994,-0.8946441,True,"Boveney, Bucks, England",England,Europe
1,51.5185174,-0.6263098,True,"Of Burnham, , Eng",United Kingdom,Europe
1,53.8611712,-2.5650945,True,"Tewhitefield, Lancashire, England",England,Europe
1,52.5310214,-1.2649062,True,"Sulgrave Manor, Northamps, Eng",United Kingdom,Europe
1,52.3106138,-0.865913,True,"Gretworth, Northamptonshire, Eng",United Kingdom,Europe
1,52.2451778,-0.9182112,True,"Of, Sulgrave, Northampton, England",England,Europe
1,51.5460558,-0.2537791,True,"Greys Inn, Middlesex, England",England,Europe
1,51.5190382,-0.1114304,True,"Grays Inn London, , Eng",United Kingdom,Europe
1,52.07588,-1.3685633,True,"Radway, Grange, Oxfordshire, Eng",United Kingdom,Europe
1,52.5310214,-1.2649062,True,"Radway, Warricks, Eng",United Kingdom,Europe
1,50.9125822,-1.3975608,True,"Of, Wallop, Hants, England",England,Europe
1,53.0284973,-0.2511855,True,"Kyme, Lincolnshire, England",England,Europe
1,53.1823034,-0.2031209,True,"Of Scrivelsby, Lindssay, Lincolnshire, England",England,Europe
1,51.4910492,-0.6507385,True,"Boveney Buckinghamshire, England",England,Europe
1,51.4534889,-1.031873,True,"Wardville, Berkshire, Eng",United Kingdom,Europe
1,52.5310214,-1.2649062,True,"Of Boveney, Bckngh, England",England,Europe
1,51.4658779,-0.7748399,True,"Of Binfield, Berks, England",England,Europe
1,51.4534889,-1.031873,True,"Of Aberfelde, Berks, Eng",United Kingdom,Europe
1,51.3963375,-0.9054306,True,"Arborfield, Berks, Eng",United Kingdom,Europe
1,51.7834994,-0.8946441,True,"Of Dorney, Bucks, Eng",United Kingdom,Europe
1,53.6037703,-2.9343637,True,", Wharton, Lancashire, England",England,Europe
1,52.5310214,-1.2649062,True,"Greatworth, Northamps, Eng",United Kingdom,Europe
1,52.0770068,-1.1959081,True,"St. Katherine'S, Aisle, Greatworth, Church",United Kingdom,Europe
1,52.5310214,-1.2649062,True,"Charwelton, Northamps, Eng",United Kingdom,Europe
1,52.2814519,-1.5815742,True,"Shattiswell, Warwick, Eng",United Kingdom,Europe
1,51.7520131,-1.2578499,True,"Horley, Oxford, , Eng",United Kingdom,Europe
1,52.2814519,-1.5815742,True,"Horley, Warwick, , Eng",United Kingdom,Europe
1,52.1363333,-1.5625084,True,"Pillerton, Warwick, , Eng",United Kingdom,Europe
1,51.5161738,-0.0761823,True,"Of, London, Middlesex, England",England,Europe
1,53.9656579,-1.0743052,True,"Of, Gawthorpe, York, England",England,Europe
1,51.556681,-0.7229044,True,"Buckingham, Berkshire, Eng",United Kingdom,Europe
1,52.5310214,-1.2649062,True,", , Eng",United Kingdom,Europe
1,51.840894,-0.8998074,True,"Of, Par. Of Burnham, Buckinghamshire, England",England,Europe
1,51.4534889,-1.031873,True,"Of, Wardville, Berkshire, England",England,Europe
1,50.9125822,-1.3975608,True,"Basingstoke, Hants, Eng",United Kingdom,Europe
1,51.3963375,-0.9054306,True,"Arborfield, Berkshire, England",England,Europe
1,54.1418786,-2.8123655,True,"Warton, Lancs, Eng",United Kingdom,Europe
1,54.153376,-2.755655,True,"Of, Warton, Lancashire, England",England,Europe
1,52.2860353,0.6727342,True,"Hengrave, Suffolk, England",England,Europe
1,53.7598705,-1.2337599,True,"Of, Fryston, York, England",England,Europe
1,51.5069253,-0.7110987,True,"Bray, Berks, Eng",United Kingdom,Europe
1,52.1096993,-2.0754758,True,"Aberfeldy, Pershore, England",England,Europe
1,51.4356541,-0.9682938,True,"Of, Basingstoke, Berkshire, England",England,Europe
1,51.2911904,-0.847955,True,"Of, Itchell, Hampshire, England",England,Europe
1,50.9125822,-1.3975608,True,"Sidmanton, Hants, Eng",United Kingdom,Europe
1,53.8611743,-2.547115,True,"Warton Lonesdale, Lancs, Eng",United Kingdom,Europe
1,52.3213064,-1.5536906,True,"Of, Oversly, Warwickshire, England",England,Europe
1,53.350703,-2.2665186,True,"Of, Oversley, , England",England,Europe
1,,,False,"Of, Wornsley",,
1,53.8984388,-1.2952849,True,"Of, Newton Kyme, , England",England,Europe
1,53.6000851,-1.187771,True,"Of, Burghwallis, , England",England,Europe
1,53.9810347,-0.837235,True,"Of, Gowthorpe, Yorkshire, England",England,Europe
1,53.9825271,-1.38525,True,", Leckonfield, Yorkshire, England",England,Europe
1,53.9825271,-1.38525,True,"Battle Of, Towtown, Yorkshire, England",England,Europe
1,53.8834471,-0.4435804,True,"Of, Leconfield, Yorkshire, England",England,Europe
1,54.1781348,-1.3871054,True,"Manor, Cocks Lodge Near, Topcliffe, Yorkshire, England",England,Europe
1,49.0709373,14.9071748,True,(40-1489),Česko,Europe
1,52.5051933,-2.0159865,True,"Of, England",England,Europe
1,51.4534889,-1.031873,True,"Of Barkham, Berks, Eng",United Kingdom,Europe
1,51.3968471,-1.3249375,True,"Of, Newbury, Berkshire, England",England,Europe
1,54.0689002,-1.28041,True,"Of, Aldwark, Yorkshire, England",England,Europe
1,53.9825271,-1.38525,True,"Of, Monston, Yorkshire, England",England,Europe
1,49.9795824,6.6996207,True,Spm,Deutschland,Europe
1,55.4133398,-1.7072354,True,", Alnwick, Northumberland, England",England,Europe
1,51.3934788,0.190539,True,"Battle Of, St Albans, Kent, England",England,Europe
1,50.9853571,-2.0771314,True,", Berwick, Wiltshire, England",England,Europe
