count,latitude,longitude,found_country,place,country_name,continent
18,52.1927803,-1.70634,False,Stratford-upon-Avon,,Unknown
1,52.1909684,-1.7276632,False,"Shottery, Warwickshire",,Unknown
2,,,False,Died in childbirth,,
1,-33.4596678,149.5481193,False,Unmarried,,Unknown
