country_code,country_name,address,latitude,found_country,continent,used,alt_addr,longitude
IT,Italy,"Rome,Italy",41.8933203,True,Europe,0,,12.4829321
NONE,,Biebrich,50.3030289,True,,0,,7.9544958
RO,Romania,"Pelesch,Sinaia,Romania",45.345476,True,Europe,0,,25.5481496
DE,Germany,"Blankenburg,Harz,Germany",51.7902676,True,Europe,0,,10.9551991
NONE,,Psychiko,38.0130854,True,,0,,23.772085
IT,Italy,"Venice,Italy",45.4371908,True,Europe,0,,12.3345898
NONE,,Belgrade,44.8178131,True,,0,,20.4568974
FR,France,"Fontainebleau,France",48.4049375,True,Europe,0,,2.7015872
FR,France,"Germain-en-Laye,France",48.9994177,True,Europe,0,,2.1022294
FR,France,"St. Denis,France",48.935773,True,Europe,0,,2.3580232
NONE,,Berlin,52.5173885,True,,0,,13.3951309
NONE,,"Marmorpalais,Potsdam",52.4128012,True,,0,,13.0697772
NONE,,Wolfenbuttel,52.1625283,True,,0,,10.5348215
NONE,,Stettin,53.4298114,True,,0,,14.5928676
NONE,,Charlottenburg,52.5050484,True,,0,,13.3045162
GB,England,"Oatlands Park,Weybridge,Surrey,England",51.3753412,True,Europe,0,,-0.4422764
NONE,,Prenzlau,53.3167,True,,0,,13.866575
NONE,,"Oraniensaal,The Hague",52.0749456,True,,0,,4.2696802
FI,Finland,"Near Borga,Finland,Finland",63.2467777,True,Europe,0,,25.9209164
NONE,,Tiflis,41.6934591,True,,0,,44.8014495
NONE,,Pembroke Castle,51.6772486,True,,0,,-4.9207686
NONE,,Berkhamsted,51.7607271,True,,0,,-0.5652554
CH,Switzerland,"Kussnacht,Switzerland",47.08385,True,Europe,0,,8.4386308
NONE,,Laeken,50.883392,True,,0,,4.3487134
BE,Belgium,"Brussels,Belgium",50.8465573,True,Europe,0,,4.351697
BE,Belgium,"Near Brussels,Belgium",50.8453219,True,Europe,0,,4.368987
NONE,,"Chateau de,Stuyvenberg",50.8424632,True,,0,,4.4600106
NONE,,Haga Castle,47.5051993,True,,0,,19.0313539
DE,Germany,"Hamburg,Germany",53.550341,True,Europe,0,,10.000654
DK,Denmark,"Charlottenlund,Nr: Copenhagen,Denmark",55.7003305,True,Europe,0,,12.5588664
NONE,,Schwerin,53.6288297,True,,0,,11.4148038
NONE,,Copenhagen,55.6867243,True,,0,,12.5700724
DK,Denmark,"Sorgenfri,Nr: Copenhagen,Denmark",55.7003305,True,Europe,0,,12.5588664
DE,Germany,"Munich,Germany",48.1371079,True,Europe,0,,11.5753822
DE,Germany,"Theatinerkirche,Munich,Germany",48.1420299,True,Europe,0,,11.5766146
DE,Germany,"Mannheim,Germany",49.4892913,True,Europe,0,,8.4673098
DE,Germany,"Schloss,Nymphenburg,Germany",48.1582569,True,Europe,0,,11.5032967
NONE,,Theatinerkirche,48.1420299,True,,0,,11.5766146
NL,Netherlands,"The Hague,Netherlands",52.0799838,True,Europe,0,,4.3113461
NONE,,Tilburg,51.5856184,True,,0,,5.0660616
NONE,,Het Loo,51.9713719,True,,0,,6.2813956
NONE,,Jena,50.9281717,True,,0,,11.5879359
NL,Netherlands,"Soetdijk,Palace,Netherlands",53.2180116,True,Europe,0,,6.5678847
NONE,,Brunn,53.6711367,True,,0,,13.3706436
